english_small.txt,250727,1,7851,None,26081865,26081865,7671,0
english_small.txt,402221,1,7945,None,26742269,26742269,7805,0
english_small.txt,1000081,1,7760,None,25426076,25426076,7596,0
english_small.txt,250727,27183,84097,0.7360422611236572,22543,22543,21,0
english_small.txt,402221,27183,84097,0.6500372886657715,11736,11736,13,0
english_small.txt,1000081,27183,84097,0.6070349216461182,3910,3910,5,0
english_small.txt,250727,250726,7197,None,25088057,25088057,7149,0
english_small.txt,402221,250726,84097,0.6390368938446045,11798,11798,10,0
english_small.txt,1000081,250726,84097,0.608034610748291,4047,4047,8,0
english_large.txt,250727,1,7602,None,24082752,24082752,7370,0
english_large.txt,402221,1,7663,None,24502547,24502547,7382,0
english_large.txt,1000081,1,7708,None,24811177,24811177,7488,0
english_large.txt,250727,27183,194433,3.5542030334472656,420489,420489,278,0
english_large.txt,402221,27183,194433,1.8561062812805176,100107,100107,43,0
english_large.txt,1000081,27183,194433,1.4600834846496582,24410,24410,15,0
english_large.txt,250727,250726,7163,None,24821456,24821456,7102,0
english_large.txt,402221,250726,194433,1.8881080150604248,101113,101113,51,0
english_large.txt,1000081,250726,194433,1.4670839309692383,24487,24487,13,0
french.txt,250727,1,7848,None,24083220,24083220,7440,0
french.txt,402221,1,7749,None,23429884,23429884,7343,0
french.txt,1000081,1,7804,None,23804752,23804752,7343,0
french.txt,250727,27183,202358,4.744271278381348,565691,565691,299,0
french.txt,402221,27183,202358,2.2411282062530518,124796,124796,57,0
french.txt,1000081,27183,202358,1.7050974369049072,30701,30701,21,0
french.txt,250727,250726,7586,None,23549917,23549917,7139,0
french.txt,402221,250726,202358,2.2461283206939697,122372,122372,49,0
french.txt,1000081,250726,202358,1.681096076965332,29927,29927,12,0
